"Ticket-Nr";"Datum";"Betreff";"Beschreibung"
"T-012";"2026-03-04";"Netzlaufwerk nicht erreichbar";"Das Abteilungslaufwerk \\fileserver01\vertrieb ist seit heute Morgen nicht erreichbar. Fehlermeldung: 'Netzwerkpfad nicht gefunden'. Internet funktioniert."
"T-013";"2026-03-05";"Neue Mitarbeiterin braucht Netzwerkzugang";"Frau Yilmaz startet am 15.03. in der Buchhaltung. Sie benötigt Zugang zum Firmennetzwerk, E-Mail-Konto und Zugriff auf das Buchhaltungslaufwerk."
"T-014";"2026-03-06";"Internetverbindung extrem langsam";"Seit ca. einer Woche ist die Internetverbindung in der gesamten Firma deutlich langsamer als üblich. Speedtest zeigt 12 Mbit/s statt der üblichen 200 Mbit/s."
"T-015";"2026-03-02";"Rechnung für Serverwartung fehlt";"Wir haben im Februar die Serverwartung durch die Firma DataCare durchführen lassen. Die Rechnung ist bis heute nicht eingegangen. Vertragsnummer: DC-2025-0847."
"T-016";"2026-03-03";"Leasingvertrag für Notebooks läuft aus";"Die Leasingverträge für 15 ThinkPad-Notebooks laufen am 30.04. aus. Bitte Angebote für Verlängerung oder Neubeschaffung einholen. Budget: max. 18.000 EUR."
"T-017";"2026-03-05";"Retoure an Lieferant erforderlich";"3 der gelieferten USB-Docking-Stations (Bestellnr. B-2026-0312) sind defekt. Bitte Retoure beim Lieferanten ElectroSupply einleiten und Gutschrift anfordern."
"T-018";"2026-03-07";"Kostenvergleich Cloud-Anbieter";"Die Geschäftsführung möchte einen Kostenvergleich zwischen AWS, Azure und Hetzner Cloud für unsere geplante Server-Migration. Bitte bis Ende März."
"T-019";"2026-03-03";"VPN funktioniert nicht";"Seit gestern kann ich mich nicht mehr per VPN verbinden. Die Software zeigt 'Verbindung fehlgeschlagen' an. Im Büro funktioniert alles normal, nur im Homeoffice nicht."
"T-020";"2026-03-04";"Druckertreiber lässt sich nicht installieren";"Ich versuche seit 2 Tagen, den Treiber für den neuen Canon-Drucker zu installieren. Windows meldet 'Treiber nicht kompatibel'. Der Drucker selbst funktioniert an anderen Rechnern."
"T-021";"2026-03-05";"Laptop extrem langsam nach Update";"Seit dem Windows-Update am Montag ist mein Laptop extrem langsam. Programme brauchen 2-3 Minuten zum Starten. Vorher lief alles normal."
"T-022";"2026-03-06";"Neuen Arbeitsplatz einrichten";"Herr Schmidt zieht nächste Woche in Raum 204 um. Er braucht dort einen kompletten Arbeitsplatz: PC, Monitore, Telefon, Netzwerkanschluss und alle seine Programme."
"T-023";"2026-03-07";"Cloud-Speicher voll";"Unser OneDrive-Speicher für die Abteilung Marketing ist voll (1 TB ausgeschöpft). Sollen wir Daten löschen, archivieren oder zusätzlichen Speicher buchen?"
"T-024";"2026-03-03";"Zugangsdaten vergessen";"Der Kollege Martin Becker (m.becker@techserv.de) hat sein Passwort vergessen und ist seit heute Morgen ausgesperrt. Seine Durchwahl ist 0721-555-4823. Bitte dringend zurücksetzen."
"T-025";"2026-03-05";"Probleme mit Kundendatenbank";"In der Kundendatenbank ist der Eintrag für die Firma Müller & Söhne GmbH (Kundennr. K-48291) doppelt vorhanden. Ansprechpartnerin Frau Dr. Claudia Weber, Tel. 0621-333-7710. Bitte bereinigen."
"T-026";"2026-03-06";"E-Mail-Weiterleitung einrichten";"Bitte richten Sie eine automatische Weiterleitung aller E-Mails von sarah.hoffmann@techserv.de an ihre Vertretung jonas.klein@techserv.de ein. Frau Hoffmann ist vom 10.03. bis 24.03. im Mutterschutz."
"T-027";"2026-03-04";"Printer not working after office move";"We moved to the new office space on 2nd floor last week. The network printer (HP LaserJet 4001) is physically connected but doesn't show up on any computer. Need someone to check the network port."
"T-028";"2026-03-06";"Request for software license renewal";"Hi, the annual license for our project management tool (Jira, 25 users) expires on March 31st. Please initiate the renewal process. Vendor contact: licensing@atlassian.com. Budget approval from department head is attached."
"T-029";"2026-03-07";"Screenreader funktioniert nicht richtig";"Ich bin sehbehindert und nutze den Screenreader JAWS. Seit dem letzten Update unserer internen Webanwendung werden die Menüpunkte nicht mehr vorgelesen. Ich kann die Anwendung aktuell nicht bedienen."
"T-030";"2026-03-08";"Backup-Fehler auf dem NAS";"Das nächtliche Backup auf dem Synology-NAS schlägt seit 3 Tagen fehl. Fehlermeldung: 'Zielverzeichnis nicht erreichbar'. Die NAS-Oberfläche ist aber über den Browser erreichbar."
